Date,Open,High,Low,Close,Volume,A/D line,ohlc,aroon up,aroon down,ATR,DMI+,DMI-,ADX,sma18,upper bb,lower bb,CMF,ema2,macd,signal,histogram,Mfi,OBV,PPO,ROC,ROC%,ROC Ratio,stdev,median P,AO,mom cp,mom low,mom high,mom op,WMA3,UPC,LPC,TMA20,PCp,Phigh,Plow,rsi2,stsd,stck,b%,Dx
2/29/2008,830,875,825,868.200012,1698908,-651240.5758,849.550003,90,40,39.41706412,30.54097124,19.07473369,16.45188509,810.2694498,871.1214984,742.2585184,0.02573371,856.5055262,-11.69538989,-21.35568152,9.660291631,57.13614064,-1412954,-1.405392008,3004.9988,0.037090112,1.037090112,33.95837691,850,-6.311616447,62,24,45,0,851.9666847,875,750.099976,833.8601052,837.150024,843,816.700012,100,83.72171943,94.55565517,0.977328738,23.11009703
3/3/2008,859.700012,909,847.5,872.650024,1827854,-984116.6256,872.212509,90,30,40.99441668,28.31371718,17.03073387,16.96129908,812.5138956,888.9325371,737.7374821,0.03575389,867.3223397,-6.703471947,-18.42523961,11.72176766,67.65617158,414900,-0.802798692,345.0012,0.005125561,1.005125561,39.8433954,878.25,11.62294202,63.25,42.349976,90,46.700012,865.25002,909,750.099976,821.7188051,868.200012,875,825,100,72.53121467,77.1239959,0.892307899,24.88283141
3/4/2008,875,915,875,904.549988,1388510,-321103.9337,892.387497,90,20,40.92338692,31.48593631,15.84170131,18.63407637,818.3222282,915.9881873,729.7118247,0.101893638,892.2648641,-0.134977238,-14.76718713,14.63220989,71.04457137,1803410,-0.016071007,3089.9964,0.036555278,1.036555278,49.08813165,895,28.5258832,134.849976,112,107,67,887.8583373,915,750.099976,811.602488,872.650024,909,847.5,100,70.62235989,93.6628196,0.938595541,33.05517831
3/5/2008,907,944.5,902,940.200012,1504357,878842.8523,923.425003,90,10,41.03600214,29.15670584,19.62188174,19.00247091,825.7916733,948.9428949,730.8571171,0.196429173,924.3814132,7.91083701,-10.2315823,18.14241931,74.4914979,3307767,0.934090326,3465.0024,0.039411889,1.039411889,57.47064861,923.25,46.06632508,177.049988,147.549988,154.5,130,917.0583393,944.5,750.099976,807.7035602,904.549988,915,875,100,89.16573382,97.78807229,0.959910807,19.54715085
3/7/2008,921.25,938.099976,873.549988,927.849976,1553921,1939264.45,915.187485,80,0,42.71557256,26.00953475,17.50389834,19.27986485,832.1527844,963.8091172,748.9308852,0.275178488,926.7053503,13.1999865,-5.545268542,18.74525505,68.46711924,1753846,1.548260035,-1335.0036,-0.013135541,0.986864459,56.62538608,905.824982,59.62896734,161.5,123.450012,163.299988,156.25,928.0833233,944.5,750.099976,810.3625859,940.200012,944.5,902,74.27079049,85.1728533,91.4351739,0.832653401,19.54715085
3/10/2008,919,938,883,895.049988,1362924,1173548.372,908.762497,70,0,43.59303166,23.66557492,21.00590889,18.58630759,837.0055609,960.0013957,778.4786091,0.195976073,905.4962575,14.61846028,-1.512522777,16.13098306,62.39687464,390922,1.708676769,-3379.9988,-0.03535053,0.96464947,47.83545439,910.5,68.32529069,94.5,114.75,132.5,144,913.5083213,944.5,768.25,812.564213,927.849976,938.099976,873.549988,0,54.92012972,74.56275417,0.642185927,5.953834088
3/11/2008,885,892,852,866.650024,846194,947192.492,873.912506,60,0,43.33638654,22.10531727,19.76934664,16.93895709,839.7500067,954.4516464,797.2483656,0.177177084,879.4692811,13.31427285,1.452836348,11.8614365,60.29811263,-455272,1.554823987,-2939.9964,-0.031730031,0.968269969,41.42670194,872,64.07529069,53.350036,61,76,73.700012,886.3166707,944.5,791,813.4677949,895.049988,938,883,0,25.17121569,59.95372099,0.441477163,5.578482116
3/12/2008,876,884.900024,851.099976,857.400024,965824,341411.6232,867.350006,50,0,42.6552195,20.85415439,26.2026453,15.53923663,841.316674,948.6089978,811.9110214,0.139905603,864.6828788,11.40351282,3.442971643,7.960541178,59.10707294,-1421096,1.33157031,-1025,-0.010673282,0.989326718,36.02307974,868,57.32234952,24.5,36.099976,44.900024,61,866.7583513,944.5,815,815.969379,866.650024,892,852,0,16.21922147,55.19549113,0.332770124,11.36603201
3/13/2008,850,874.900024,806,840.349976,797094,339097.0204,842.8125,40,0,44.52984839,18.54935725,23.46714003,14.07735258,842.866672,947.4075735,814.6024361,0.129298336,848.3798339,8.409316292,4.436240573,3.97307572,58.25902906,-2218190,0.98323224,-1805.0048,-0.019885756,0.980114244,34.99722661,840.450012,39.73441039,3.199952,-10.700012,31.900024,20,850.4166667,944.5,806,816.9391357,857.400024,884.900024,851.099976,0,29.46980466,46.42489139,0.193874578,11.70440921
3/14/2008,840,849.799988,805,832.700012,652894,493576.9704,831.875,30,90,44.54914408,17.21694271,22.58316026,13.85117981,844.3388942,948.1806678,812.9393394,0.138538103,837.8743532,5.342108996,4.617414257,0.724694738,57.88072254,-2871084,0.625764977,-864.9964,-0.009103307,0.990896693,35.63921929,827.399994,23.81706002,-35.5,-20,-25.200012,10,839.3666687,944.5,805,814.8306607,840.349976,874.900024,806,0,41.58206082,36.5673827,0.146114156,13.48292377
