0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-3.583659806,1.091532508,-0.99824664,0.384754402,-1.683601893,0.004530315,-0.280101407,0.990815539,0.18482592,0.24973315,-0.172171294,0.66344148,-0.533623227,-0.854256226,-0.065999538,-0.656437713,0.771410096,0.1799228,0.346802536,-0.044558044,0.648712181,0.467600198,0.134241596,-0.070886564,0.122204738,-0.076182534,0.034751779,-0.000614001,-0.005421735,-0.001651475,0.002265761,-0.011256153,0.002212661,-0.003632009,-0.00070004,-0.000154157
-3.560998201,2.547292282,-2.64935814,0.916544866,-1.169256015,0.648499832,0.048602479,1.342186693,0.293048994,0.414248721,-0.01124847,-0.08334291,-0.852783673,-0.995758392,0.237589378,-0.258147373,0.395435009,1.079053926,-0.017926028,0.071210233,0.806448309,0.30405322,0.122588752,-0.222110085,0.140187513,0.017147474,0.053243293,0.004188985,-0.016789387,-0.000614133,0.004210266,-0.009680197,-0.004617063,0.000100998,-0.000702483,-0.000505277
-3.543707892,4.049478307,-3.338443652,0.768285922,-1.034195143,1.158740628,0.683530756,0.758219097,-0.392228556,1.531326681,-0.342511834,0.241956867,-0.333091115,-0.63826687,0.473539848,0.012838656,0.587841436,0.78769112,0.003663861,0.616684599,0.480166693,-0.058001994,0.068049262,-0.058225197,0.262771326,0.006519245,0.027567507,-0.000842211,-0.000871414,-0.000947853,0.005370812,-0.007965314,-0.00323661,-0.000169126,0.001254338,8.31E-05
-3.535170399,3.865739077,-1.446654613,-0.039583232,-0.99115127,2.163009643,-0.277037181,1.110402723,0.159627145,1.409367308,-0.29438813,0.068830659,-0.623162143,-0.120659138,-0.03354786,-0.29123447,0.443852619,0.690580939,0.164366967,0.502310034,0.406509605,0.098119943,0.104620102,-0.090155085,0.164973808,-0.011331262,0.034783851,-0.00519227,-0.002173304,0.001116328,0.007243808,-0.012427371,-0.000309994,0.00055898,-0.000443722,-7.92E-05
-3.540613973,4.249120093,-1.566242892,0.092672938,-0.738092095,1.761874439,0.204731143,0.919906794,-0.191590179,1.255793606,-0.199122264,0.065791097,-0.783091874,-0.230199398,0.145455292,-0.221372419,0.553389645,0.273039674,0.184853586,0.468807163,0.366134713,0.046801381,0.169871261,-0.140684427,0.090287325,0.006518618,-0.001881239,-0.007554454,-0.000650732,-0.003387592,0.00164755,-0.014262074,0.003339354,0.000124802,-0.001432581,-0.001113675
-3.530636707,3.279546038,1.255082625,-0.703765466,-0.91321026,2.088437449,0.726780375,1.053486471,-0.111605649,0.707484493,0.090078242,-0.314645278,-0.970790532,0.452178275,-0.015189851,-0.466424821,0.260559168,0.334192918,0.522012728,0.114012146,0.73785599,0.06626637,0.13889798,0.016360272,0.070756376,-0.029881435,0.050453101,-0.009441779,-0.007565985,-0.007010412,0.00538723,-0.010628881,-0.001620715,-0.00025094,1.06E-05,-0.000351391
-3.538555694,3.85076769,0.033949974,0.040553926,-0.360335469,1.578018749,1.802943412,0.799781742,-0.200613073,0.494372661,0.197728142,-0.618276693,-1.059073469,-0.050096813,0.361964014,-0.121415686,0.371712854,0.362117718,0.21837623,0.28811583,0.57803519,0.286058392,0.096230333,-0.038309599,0.025544205,-0.017030618,0.063402872,-0.013358416,-0.005668598,-0.010902382,0.004928124,-0.009425397,0.001292865,-0.000833189,-0.000331027,-0.000491959
-3.585480268,4.384145526,-0.673951721,-0.0181254,-0.241086254,1.97871085,0.506067969,0.845706507,-0.356873983,0.795871674,-0.162237511,-0.372716317,-0.815041534,-0.00755332,0.213346795,-0.314901679,0.713359844,-0.298241565,0.414009313,0.201930374,0.329403233,0.380886122,0.103230133,-0.068926097,0.01418143,-0.01472877,0.058258104,-0.011410374,-0.001059709,-0.007744889,0.001219403,-0.009064324,0.003067264,0.000957279,-0.001080864,-0.000652501
-3.610190281,4.606304659,-0.821875719,0.052513034,-0.154007143,2.170722257,0.442480532,0.991094625,-0.609090326,0.714159763,-0.176285427,-0.410356617,-0.756936611,0.084512151,0.257807512,-0.260140943,0.653172824,-0.17584714,0.26302717,0.217673345,0.272962193,0.506283828,0.132193937,-0.022574135,-0.014161849,-0.030133229,0.073001875,-0.00955369,0.001829424,0.000278642,0.000421756,-0.0087065,0.003930573,0.001509198,-0.000155792,-0.000758606
-3.634086049,4.593150912,-0.405384287,-0.17845988,-0.284935095,2.513584827,-0.102065642,1.236320806,-0.765376327,0.563810798,-0.173096538,-0.246457523,-0.736701289,0.273236843,0.005954314,-0.208127927,0.640578504,-0.156919361,0.12111833,0.390497233,0.253424267,0.494054297,0.069965659,0.016057012,-0.005945583,0.008448559,0.066179606,-0.00528586,0.003234012,0.005046542,-0.005285757,-0.005942191,0.003109072,0.001387247,-0.000526967,-1.31E-05
