7/11/2008,571.900024,578.799988,556.099976,564.75
7/14/2008,574.700012,584.700012,560.099976,568.5
7/15/2008,520.5,561,520.5,549.299988
7/16/2008,549,554.849976,540,548.25
7/17/2008,560,602.700012,556,599.299988
7/18/2008,605,623,588.349976,619.25
7/21/2008,625.150024,660,615,647.150024
7/22/2008,625.25,625.25,585,587.799988
7/23/2008,601,614.75,592.349976,608
7/24/2008,610,634.799988,610,619.150024
7/25/2008,610,623,600.299988,614.400024
7/28/2008,615,624,608.099976,610.650024
7/29/2008,602,604,559.200012,566.400024
7/30/2008,557,595,557,587.849976
7/31/2008,592,598.799988,570,575.650024
8/1/2008,564.900024,569.900024,553,562.150024
8/4/2008,562.150024,576,556.299988,572.700012
8/5/2008,576,623,572.099976,614
8/6/2008,644,674.900024,627,651.700012
8/7/2008,649,680,647,671.700012
8/8/2008,626.650024,684.049988,626.650024,679.150024
8/11/2008,690.900024,725.700012,682,719.25
8/12/2008,709,713.700012,661.299988,679.049988
8/13/2008,679.049988,689.5,658,669.450012
8/14/2008,666,666,643.400024,650.5
8/18/2008,651,655,618,640.099976
8/19/2008,639.849976,639.849976,601.950012,616.5
8/20/2008,616.5,629.900024,615,625.099976
8/21/2008,625,630,611.5,618.549988
8/22/2008,610,634,603.200012,631.5
8/25/2008,620,649.799988,615.150024,625.700012
8/26/2008,619,641.900024,609.700012,629.450012
8/27/2008,630,635,620,626.150024
8/28/2008,615,636.650024,611.349976,629.349976
8/29/2008,635,661.299988,635,649.599976
9/1/2008,649.599976,649.599976,618.5,633.5
9/2/2008,630.200012,670,630.200012,665.25
9/4/2008,658,693.5,645.099976,687.700012
9/5/2008,666,685,653.349976,680.25
9/8/2008,685.549988,719.950012,682.299988,694.700012
9/9/2008,690,713.400024,676.400024,708.049988
9/10/2008,698,707.900024,688.299988,695.700012
9/11/2008,687,702.099976,675,679.349976
9/12/2008,682,711.900024,682,703.349976
9/15/2008,655.650024,737.849976,655.650024,720.700012
9/16/2008,700,720.049988,684.049988,695.900024
9/17/2008,715,715,681,700.25
9/18/2008,680,734.700012,670,716.900024
9/19/2008,732.5,749.950012,724,741.049988
9/22/2008,766,766,710.5,721.299988
9/23/2008,700,726.900024,695.049988,700.900024
9/24/2008,698,716.099976,692.400024,702.099976
9/25/2008,682.650024,712,682.650024,705.349976
9/26/2008,700,703,671.25,684.049988
9/29/2008,645.049988,690,645.049988,662.849976
9/30/2008,647.599976,701,636.299988,690.200012
10/1/2008,695.349976,708,684,700.75
10/3/2008,681,715,672.049988,682.849976
10/6/2008,665,692,653.400024,659
10/7/2008,660.549988,688.700012,619.099976,672.099976
10/8/2008,651,698,627.5,687.849976
10/10/2008,631,689.700012,631,679.700012
10/13/2008,676,725.799988,676,723.200012
10/14/2008,732,749,711,719.75
10/15/2008,705,713,668.25,681.650024
10/16/2008,665.900024,685,643.150024,678.799988
10/17/2008,684.099976,689,632.299988,640.5
10/20/2008,637,674.799988,625,656.349976
10/21/2008,663.799988,690,645.349976,677.450012
10/22/2008,660,674,628.549988,648.700012
10/23/2008,628,645,587.299988,595.400024
10/24/2008,580,581.5,512,538.25
10/27/2008,525.5,538.400024,475,515.75
10/29/2008,556,562,505.299988,542.849976
10/31/2008,561,584,546.700012,563.200012
11/3/2008,565.5,619,565.5,602.150024
11/4/2008,600,619.700012,583.150024,615.75
11/5/2008,639,639,610.099976,615.849976
11/6/2008,600,624.400024,582.450012,600.849976
11/7/2008,595,609.75,570,599.450012
11/10/2008,600,608,584.549988,595.25
11/11/2008,590,590,560.150024,573.400024
11/12/2008,568,569.849976,546.099976,559.25
11/14/2008,580,580,530.049988,536.150024
11/17/2008,533,558.799988,520.099976,547.849976
11/18/2008,545,568.799988,505.549988,513.25
11/19/2008,517,548,504.100006,516.25
11/20/2008,506,510,467.799988,491
11/21/2008,486.299988,524.700012,480.149994,509.950012
11/24/2008,515.049988,535,495.149994,530.349976
11/25/2008,574,574,522.700012,535.150024
11/26/2008,539,542.849976,508,531.650024
11/28/2008,537,548.900024,521,533.549988
12/1/2008,540.5,544.900024,482.100006,487.100006
12/2/2008,433,476,433,460
12/3/2008,468,493.899994,445.5,484.899994
12/4/2008,485,494.700012,468.149994,487.850006
12/5/2008,490,496.299988,477.149994,490.649994
12/8/2008,500,524,476.700012,499.100006
12/10/2008,505,524.799988,487.399994,515.799988
12/11/2008,522,528,501,510.700012
12/12/2008,480,513,475.700012,507.049988
12/15/2008,515,524,505.600006,508.75
12/16/2008,509,518.900024,491.549988,509.25
12/17/2008,520,520,504.549988,509.75
12/18/2008,478,542.799988,478,536.150024
12/19/2008,528,568.900024,528,549.400024
12/22/2008,555,558.950012,525.400024,528.299988
12/23/2008,527,527,508.200012,513.049988
12/24/2008,524.700012,524.700012,495.700012,502.549988
12/26/2008,502,518.400024,501.399994,510.200012
12/29/2008,519.200012,519.200012,484,499.25
12/30/2008,504.899994,523.950012,497.049988,518.450012
12/31/2008,520.099976,527,506.350006,520.200012
1/2/2009,539,559,534,544.400024
1/5/2009,578.900024,578.900024,543.549988,557.049988
1/6/2009,552,571.849976,546.349976,561.400024
1/7/2009,570,579.700012,551.299988,565.150024
1/9/2009,553,596,550.099976,585.849976
1/12/2009,580.099976,596.75,561.599976,579.349976
1/13/2009,580,595,566,587.5
1/14/2009,583,604,578,595.75
1/15/2009,575,598.200012,542.349976,589.950012
1/16/2009,590.099976,597.900024,581.799988,589.650024
1/19/2009,585.099976,585.099976,567.599976,573.900024
1/20/2009,567.900024,567.900024,556.099976,559.599976
1/21/2009,556,561.700012,536.150024,539.75
1/22/2009,540.450012,550,513.099976,519.400024
1/23/2009,520,525,502.299988,515.200012
1/27/2009,512.349976,547,512.349976,537.650024
1/28/2009,540,547.950012,511.25,520.549988
1/29/2009,526.200012,555,521.200012,544.450012
1/30/2009,535,578.900024,531,568.299988
2/2/2009,561,588.799988,555,567
2/3/2009,570,594.25,570,583.75
2/4/2009,587.5,606.799988,585.5,602
2/5/2009,585.599976,603.900024,571.400024,577.049988
2/6/2009,579,586.700012,572,577.700012
2/9/2009,597.5,598.900024,574.099976,595.200012
2/10/2009,590,615.900024,589.299988,608.400024
2/11/2009,600,634,597,632.299988
2/12/2009,625,628,607.400024,613.849976
2/13/2009,616.299988,637.400024,616.299988,628.799988
2/16/2009,625,641,609,622.099976
2/17/2009,617.299988,617.299988,595.599976,602.599976
2/18/2009,604,624,593,616.900024
2/19/2009,618,637.400024,618,631.799988
2/20/2009,617,635.900024,615.150024,629.5
2/24/2009,617,647.849976,614,641.200012
2/25/2009,647.400024,669.400024,644,663.900024
2/26/2009,632.400024,709.400024,632.400024,690.75
2/27/2009,690,690,659.049988,677.299988
3/2/2009,698.700012,698.700012,657.099976,674.599976
3/3/2009,659,687.599976,659,671.25
3/4/2009,675,688.900024,666.900024,683.299988
3/5/2009,699.799988,699.799988,663.599976,668.25
3/6/2009,679,679,643.299988,649.650024
3/9/2009,674.799988,677.299988,640.400024,651.900024
3/12/2009,669.950012,697.299988,652.049988,689.75
3/13/2009,697,719.5,688.349976,713.150024
3/16/2009,712.849976,715.950012,688.349976,698.75
3/17/2009,708.700012,715,692,709.75
3/18/2009,715.150024,728,709,717.599976
3/19/2009,721,744,716,730.900024
3/20/2009,735,735,708.25,710.950012
3/23/2009,719,737.700012,717.099976,733.099976
3/24/2009,738,756,717.650024,734.049988
3/25/2009,733,753.799988,723.25,733.900024
3/26/2009,745,799,734.200012,770.150024
3/27/2009,770,774.650024,751.200012,768.5
3/30/2009,760,769.349976,732.349976,758.200012
3/31/2009,761,788.849976,751.5,779.849976
4/1/2009,780,799,765.049988,792.5
4/2/2009,801.650024,831.400024,780,794.549988
4/6/2009,797.650024,804,785.049988,799.099976
4/8/2009,785,820,770.049988,817.299988
4/9/2009,820,829.5,798.299988,809.099976
4/13/2009,815.25,839,811,822.799988
4/15/2009,815,854.799988,807,846.599976
4/16/2009,852,873.799988,845,855.150024
4/17/2009,851,866,825.349976,836.200012
4/20/2009,837.849976,854,828.25,836.349976
4/21/2009,827,838.200012,777.25,788.75
4/22/2009,828.799988,828.799988,741,754.150024
4/23/2009,755,816,743,798.599976
4/24/2009,808,818.700012,763.5,803
4/27/2009,779.5,821.799988,773.599976,809.349976
4/28/2009,806,822,790.5,803.150024
4/29/2009,809,819.900024,784.299988,814
5/4/2009,821.349976,849.799988,820.25,839.349976
5/5/2009,845,859,815.049988,831.650024
5/6/2009,827.5,837.900024,797,808.549988
5/7/2009,815,843.900024,800,839.400024
5/8/2009,838,845.950012,816.549988,828.299988
5/11/2009,836,845.950012,819.25,834.099976
5/12/2009,830,875.5,820.049988,863.900024
5/13/2009,857.599976,872,830,839.049988
5/14/2009,815.650024,841.849976,795,832.700012
5/15/2009,842,857,837,848.200012
5/18/2009,924,954,918,938.200012
5/19/2009,960,1064,940,999.900024
5/20/2009,992,1058.900024,981.400024,1041.849976
5/21/2009,1026,1041.849976,957.650024,969.25
5/22/2009,962,974.900024,954,961.950012
5/25/2009,962.5,985.5,958,973.349976
5/26/2009,973.5,980,948,957.900024
5/27/2009,970.200012,983,946.200012,974.5
5/28/2009,974.5,1028.800049,965.299988,1003.849976
5/29/2009,1009,1037.449951,983,1027.099976
6/1/2009,1025,1062,1025,1042.400024
6/2/2009,1035,1049,1020.5,1036.050049
6/3/2009,1030,1063.300049,1022.75,1044.900024
6/4/2009,1030,1084.699951,1030,1078.900024
6/5/2009,1080,1112.800049,1070.099976,1087.099976
