Date,Open,High,Low,Close,Volume,A/D line,ohlc,aroon up,aroon down,ATR,DMI+,DMI-,Dx,ADX,sma8,upper bb,lower bb,%b,CMF,ema26,macd,signal,histogram,Mfi,OBV,PPO,ROC,ROC%,ROC Ratio,stdev,median P,AO,mom cp,mom low,mom high,mom op,WMA20,UPC,LPC,TMA20,PCp,Phigh,Plow,rsi2,stck2,stcd2
2/29/2008,220,222.925003,215.875,219.350006,3416480,-29984195.44,219.5375023,50,0,10.10595767,14.56535684,22.1924207,20.74952395,13.21957527,223.0093745,229.9304614,213.3171398,0.363134258,-0.207746035,219.7425642,-2.87542018,-3.515801906,0.640381727,32.09727252,-15058804,-1.280045476,-187.5,-0.003973209,0.996026791,4.37799467,219.4000015,0.455879991,6.050003,3.375,4.175003,1.824997,221.5872479,232.75,212.5,227.8495123,220.225006,222.5,218,48.920411,49.29084427,35.03099324
3/3/2008,216.5,217.175003,210,212.149994,3141328,-31242921.76,213.9562493,40,90,9.896603766,14.04564913,21.0431759,19.94232286,12.95164514,221.8374995,230.2914346,212.7261648,-0.032801706,-0.258607505,214.6555422,-3.442845287,-3.501210583,0.058365296,33.71681609,-18200132,-1.538630805,-820.0012,-0.032824307,0.967175693,4.628855017,213.5875015,-1.597157588,-6.713013,-3.75,-3.824997,2.5,220.5236713,232.75,210,224.7248603,219.350006,222.925003,215.875,0,16.63437912,32.9626117
3/4/2008,214.5,217.5,211.774994,214.699997,3010532,-31177189.69,214.6187478,30,80,9.598632497,15.82855395,20.14667686,12.00304435,12.21121974,220.0921249,230.6938153,211.4911821,0.167102857,-0.251852083,214.6853269,-3.651244719,-3.53121741,-0.120027309,39.9249832,-15189600,-1.636404118,155.0003,0.012019812,1.012019812,5.060338141,214.637497,-3.502746291,-6.824997,-6.537002,-6.162994,-5.475006,219.8542044,232.75,210,221.761259,212.149994,217.175003,210,26.15383669,62.66662667,39.65050289
3/5/2008,211.25,220.699997,211.25,218.824997,2209348,-29844567.36,215.5062485,20,70,9.588015676,14.714218,19.24089107,13.33134599,11.54444256,219.3031254,230.5114352,211.1335628,0.396918405,-0.214562109,217.4589059,-3.4476464,-3.514503208,0.066856808,39.83627991,-12980252,-1.54724381,312.5,0.019212855,1.019212855,5.106517756,215.9749985,-4.452205271,-9.837997,-9.25,-12.050003,-13.25,219.6921756,232.75,210,220.7124671,214.699997,217.5,211.774994,100,80.15872386,71.41267526
3/7/2008,215.649994,216.524994,210.561996,211.537994,1996828,-31187730.84,213.5687445,10,90,9.329085842,14.04242616,20.70686081,19.17862272,11.07658691,217.5968741,228.7035556,209.5164424,0.105359862,-0.215686204,213.4918949,-3.833461882,-3.578294943,-0.255166939,40.0819064,-14977080,-1.726512959,-828.7003,-0.033300597,0.966699403,5.056248291,213.543495,-5.320153271,-13.598999,-10.688004,-13.700012,-14.350006,218.8728132,232.25,210,221.013178,218.824997,220.699997,211.25,36.14615243,9.627124716,44.89292429
3/10/2008,211.537994,213.5,207.5,208.412994,2494168,-32922845.36,210.237747,0,90,9.091293996,13.3804541,21.69492411,23.70457693,11.2639584,215.5734976,228.0248153,206.8503829,0.073797071,-0.23701609,210.0890313,-4.348197671,-3.732275488,-0.615922182,39.44077922,-17471248,-1.96678587,-412.5,-0.01477276,0.98522724,5.579952868,210.5,-7.004756526,-16.77501,-15.061996,-18.75,-20.462006,217.7949936,232.25,207.5,220.2961607,211.537994,216.524994,210.561996,0,10.11628373,9.871704225
3/11/2008,210,210,205,205.875,4043520,-35551133.36,207.71875,0,90,8.799058711,14.86679595,20.8143541,16.66862794,11.33788626,213.8844985,226.7588286,204.2537688,0.072038522,-0.291488815,207.2656303,-4.912479756,-3.968316342,-0.944163414,33.56033908,-21514768,-2.232773329,-353.7994,-0.012177715,0.987822285,5.930604013,207.5,-8.020050944,-18.725006,-18.75,-21,-21,216.5525414,231,205,218.7372974,208.412994,213.5,207.5,0,10.29411765,10.20520069
3/12/2008,209.75,212.5,202.561996,205.886993,1884412,-36174595.13,207.6747473,0,90,8.880411946,13.67841577,29.05356701,35.98043019,13.8527387,212.0922469,224.430671,202.8393238,0.14115234,-0.242230348,206.3419433,-5.306004267,-4.235853927,-1.07015034,31.59446595,-19630356,-2.422524906,-98.8007,5.83E-05,1.000058254,5.689819561,207.530998,-9.313585979,-13.5,-15.949997,-16.212006,-17.25,215.4095646,228.712006,202.561996,219.1004028,205.875,210,205,0.470316123,33.45739245,21.87575505
3/13/2008,203.75,203.75,190.25,194.925003,3408600,-37222422.5,198.1687508,0,90,9.210382521,12.24634703,28.14447529,39.36074421,16.60904214,209.0391215,226.0010361,196.3765607,-0.048998597,-0.246545179,198.6925933,-6.438331548,-4.676349451,-1.761982097,23.58500386,-23038956,-2.962322728,-1196.199,-0.053242751,0.946757249,7.806734709,197,-12.60214444,-25.300003,-27.75,-18.75,-17.5,213.2715221,222.925003,190.25,219.2729858,205.886993,212.5,202.561996,0.109285753,21.01124944,27.23432094
3/14/2008,195,203.225006,187.5,200.962006,2216056,-35644195.79,196.671753,0,90,9.67571277,10.82471769,24.87729596,39.36074421,19.11464322,207.640623,223.8821274,194.6428694,0.216118227,-0.206791037,200.2130998,-6.782873543,-5.09765427,-1.685219273,28.47104752,-20822900,-3.137399244,503.7003,0.030970901,1.030970901,7.705221025,195.362503,-15.55856356,-18.388,-28.375,-19.699997,-25,211.8146847,222.925003,187.5,219.16715,194.925003,203.75,190.25,35.51388603,82.84311385,51.92718164
